Maps,Social,Health & Fitness,Food & Drinks,Communication,Game & Entertainment,Others,uf,context,y1,y2
0,0,0,1,0,0,0,8.89,1,0,0
0,0,0,1,0,0,0,10.23,1,200,500
0,0,0,1,0,0,0,12.34,1,200,500
0,0,0,1,0,0,0,17.24,1,200,500
0,0,0,1,0,0,0,44.23,1,200,500
0,0,0,1,0,0,0,78.66,1,200,500
0,0,0,1,0,0,0,88.99,1,200,500
0,0,0,0,1,0,0,1.23,0,1000,2000
0,0,0,0,1,0,0,1.34,0,1000,2000
0,0,0,0,1,0,0,5.67,0,1000,2000
0,0,0,0,1,0,0,1.34,0,1000,2000
0,0,0,0,1,0,0,6.74,0,1000,2000
0,0,0,0,1,0,0,4.53,1,0,0
0,0,0,0,1,0,0,7.34,1,0,0
0,0,0,0,1,0,0,8.99,1,0,0
0,0,0,0,1,0,0,9.9,1,0,0
0,0,0,0,1,0,0,13.65,0,1000,2000
0,0,0,0,1,0,0,24.23,0,1000,2000
0,0,0,0,1,0,0,37.78,0,1000,2000
0,0,0,0,1,0,0,44.76,0,1000,2000
0,0,0,0,1,0,0,60.76,0,1000,2000
0,0,0,0,1,0,0,78.99,0,1000,2000
0,0,0,0,1,0,0,7.75,1,0,0
0,0,0,0,1,0,0,8.89,1,0,0
0,0,0,0,1,0,0,33.45,1,50,100
0,0,0,0,1,0,0,14.23,1,50,100
0,0,0,0,1,0,0,12.44,1,50,100
0,0,0,0,1,0,0,44.23,1,50,100
0,0,0,0,1,0,0,78.66,1,50,100
0,0,0,0,1,0,0,88.99,1,50,100
0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,1,0,2.45,0,0,0
0,0,0,0,0,1,0,3.88,0,0,0
0,0,0,0,0,1,0,2.33,0,0,0
0,0,0,0,0,1,0,4.34,0,0,0
0,0,0,0,0,1,0,0.5,1,0,0
0,0,0,0,0,1,0,1.34,1,0,0
0,0,0,0,0,1,0,5.23,1,0,0
0,0,0,0,0,1,0,3.47,1,0,0
0,0,0,0,0,1,0,11.38,0,0,0
0,0,0,0,0,1,0,22.65,0,0,0
0,0,0,0,0,1,0,35.56,0,100,500
0,0,0,0,0,1,0,43.7,0,100,500
0,0,0,0,0,1,0,77.12,0,500,1000
0,0,0,0,0,1,0,67.9,0,500,1000
0,0,0,0,0,1,0,7.75,1,0,0
0,0,0,0,0,1,0,8.89,1,0,0
0,0,0,0,0,1,0,33.45,1,0,0
0,0,0,0,0,1,0,14.23,1,0,0
0,0,0,0,0,1,0,12.44,1,0,0
0,0,0,0,0,1,0,44.23,1,0,0
0,0,0,0,0,1,0,78.66,1,0,0
0,0,0,0,0,1,0,88.99,1,0,0
0,0,0,0,0,0,1,2.3,0,0,0
0,0,0,0,0,0,1,3.23,0,0,0
0,0,0,0,0,0,1,3.3,1,0,0
0,0,0,0,0,0,1,4.32,1,0,0
0,0,0,0,0,0,1,13.23,0,400,800
0,0,0,0,0,0,1,33.23,0,400,800
0,0,0,0,0,0,1,23.23,1,0,0
0,0,0,0,0,0,1,31.23,1,0,0
0,0,0,0,0,0,1,55.23,1,200,300
0,0,0,0,0,0,1,66.43,1,200,300
0,0,0,0,0,0,1,51.23,0,400,800
0,0,0,0,0,0,1,42.23,0,400,800
